,email_id,label,body
0,1,Enquiry,we have received the following question from the wall street journal and bloomberg. we will not necessarily respond but would you please provide answer and let me know your view whether or not we should respond to the following: have you had any further contact from fitch? ha there been a change in status to the sec inquiry? which office is handling fort worth? have you been contacted by the federal reserve or any other agency conducting an investigation? have you been in contact with or retained bankruptcy counsel? have you been contacted about a takeover royal dutch/ge? have you retained goldman sachs to advise you on credit rating/financing issue or to find a strategic partner? will they receive an equity stake to help enron get out of it current situation? these reporter are on deadline tonight so let me know a soon a possible. thank you.
1,2,Enquiry,"jeff, a always your proposal is creative. after reviewing your presentation, here are some tough question that we can discus tomorrow: 1. would the replacement energy from the market be obtained under contract of similar length and firmness a the qf contract that the energy replaces? if not, how do we justify a different standard? 2. can we credibly say that the california economy and reliability will be served by shifting energy supply from california to a broader western market? 3. will ferc be convinced by the argument on competitive issues, or will it view this a something that further concentrate market power? 4. do we need outright acquisition rather than contracts? 5. can we structure a creative way to allow the qfs to participate in the upside over the long term (i.e. the higher priced years)? 6. how would we be assured that sce would use any fund from this to pay qfs and keep them running? i look forward to discussing these tomorrow. mike"
2,3,Enquiry,"in preparation for friday's bank conference, cheryl lipshutz and i are sitting with the bank right now and we understand that you are meeting with them at 2pm this afternoon. here is a list of the initial question they are posing to the rac group: rac 1. doe var analysis take care of the quality of the assets? 2. what is the correlation matrix? how often is it updated and validated? 3. can you discus reserve methodology? 4. can the bank get more detail of enron's current asset/position breakdown? credit 1. bank debt on the balance sheet? these are the issue right now. if you have any further questions, please let me know. thanks, james"
3,4,Enquiry,"our analysis show a 35% increase in shipping cost for international orders. ha the logistics team evaluated alternative carrier for these routes? the current delivery timeframes have increased by an average of 7 days, which is causing customer satisfaction issue in our european markets. the cost differential between domestic and international shipping ha grown from 2.8x to 4.3x in just one quarter. is this a temporary spike related to fuel costs, or are there structural issue with our distribution network that need to be addressed? can you provide a breakdown of which product category are most affected by these increases? we need to determine whether selective price adjustment might be necessary. thank you for looking into this."
4,5,Enquiry,"our customer satisfaction metric have declined 15% since implementing the new billing system last quarter. ha the customer service team identified specific functionality issue that might be causing this drop? i've received numerous complaint about invoice error and delayed response time from our key accounts. the data show that call resolution time have increased from an average of 8 minute to nearly 17 minutes, while first-call resolution ha dropped from 76% to 52%. ha it conducted any post-implementation review to address these concerns? are there plan to revert to the previous system if these issue can't be resolved quickly? our quarterly business review is coming up, and i need to provide the executive team with specific remediation actions. can you share the current troubleshooting plan and timeline?"
5,6,Enquiry,"the operational performance metric for the western region show a 23% increase in delivery failure compared to last quarter. ha the logistics team identified the root cause for these failures? our initial analysis suggests problem with both the scheduling system and third-party carriers. is this a temporary situation related to the recent software upgrade, or have there been personnel change that might be affecting performance? the customer impact is becoming significant, with several key account threatening to reduce their orders. what corrective action have been implemented, and when can we expect to see improvements? do we need to allocate additional resource to this region while the issue are being resolved? please provide an update by thursday so i can address these concern in the divisional meeting."
6,7,Enquiry,"the alpha project is showing a 30% schedule variance according to last week's status report. ha the project team identified specific bottleneck causing these delays? the original timeline projected completion by march, but current projection indicate a potential slip to may or june. have the required resource been fully allocated to the critical path activities? our stakeholder analysis suggests that several key deliverable are dependent on technical resource that appear overcommitted. what mitigation strategy are being considered? would adding external consultant help accelerate the timeline, or are there fundamental scope issue that need to be addressed? i need to update the steering committee next week, so a comprehensive status update would be appreciated."
7,8,Enquiry,"dear jeffrey: will you be able to join other venturewire subscriber in the bay area for this month's breakfast briefing? we'll be gathering at the san mateo marriott on wednesday, september 19 to hear mark klopp's thought on this month's topic: when corporate and venture world collide: aligning strategic and financial goal in corporate venturing what approach to corporate venturing is most beneficial for startups? can startup compete for talent with corporate-funded rivals? why are some corporation abandoning their venture programs? is your startup a candidate for corporate venture funding? join u on wednesday at 8 a.m. for this important discussion. space is limited to 40 guests. please reserve your space by return e-mail."
8,9,Enquiry,"order processing time have increased 25% since implementing the new workflow system last month. ha the operation team identified specific bottleneck in the process? customer complaint about late delivery have increased dramatically, and our on-time delivery metric ha dropped from 94% to 81%. according to our system logs, the order validation step now take three time longer than before, and we're seeing a 40% increase in exception handling. have any configuration change been made that might explain these issues? what step can we take immediately to improve performance while a more permanent solution is developed? would reverting to the previous workflow make sense, or are there quick fix we can implement? i need recommendation by friday so we can discus them in the operation review meeting."
9,10,Enquiry,"customer feedback show growing confusion about our new pricing model. ha the marketing team tested alternative way to present this information? our conversion rate ha dropped 18% since the rollout, and customer service report that 32% of all call now relate to pricing questions. the web analytics show that visitor are spending three time longer on the pricing page but are 45% less likely to proceed to the purchase flow. is the complexity of the tiered structure causing decision paralysis? have we considered running focus group to better understand customer pain points? should we simplify the pricing structure, even if it mean potentially lower revenue for some customer segments? please share your thought on how we can address this growing concern."
