Email,True Label,Predicted Label
"dear jeffrey: will you be able to join other venturewire subscriber in the bay area for this month's breakfast briefing? we'll be gathering at the san mateo marriott on wednesday, september 19 to hear mark klopp's thought on this month's topic: when corporate and venture world collide: aligning strategic and financial goal in corporate venturing what approach to corporate venturing is most beneficial for startups? can startup compete for talent with corporate-funded rivals? why are some corporation abandoning their venture programs? is your startup a candidate for corporate venture funding? join u on wednesday at 8 a.m. for this important discussion. space is limited to 40 guests. please reserve your space by return e-mail.",Enquiry,Others
hello everyone rto west will hold two day of meeting monday february 11 and tuesday february 12 2002 to review discus and seek consensus on the draft filing that rto west is preparing to submit to ferc. could you please provide u with a list of attendee from your organization?,Enquiry,Others
you have received this message because someone ha attempted to send you an e mail from outside of enron with an attachment type that enron doe not allow into our messaging environment. your e mail ha been quarantined and is being held at the mailsweeper server. sender: daphneco64 alltel.net date: fri 28 dec 2001 09:28:35 0600,Confirmation,Complaint
this is an automatically generated delivery status notification. your message ha been successfully relayed to the following recipient but the requested delivery status notification may not be generated by the destination. nathoo blackstone.com,Confirmation,Others
hi christi and sarah a you know the deadline for filing response to translink s itc pleading ha been postponed until late november. i had prepared the attached draft for the october 29 filing date... we have time to revise the draft to conform it with anything ferc will say prior to the response date i m aware that the commissioner have put the question of miso appendix i back on the table ; in the meantime i would really appreciate your review and comment on the attachment.,Confirmation,Complaint
final reminder if you are a participant in the enron corp. saving plan all trade among your investment fund must be completed by 3:00 pm cst friday october 26. the makeup of your investment fund in the saving plan at 3:00 p.m. october 26 will reflect your investment decision for the duration of the transition period.,Confirmation,Others
ferc today issued draft order denying rehearing in the following: kern river cp01 31 2002 expansion project rejected argument of the firm customer that the project should not have been approved or alternatively the right of the expansion shipper at wheeler ridge should be subordinate to those of the existing shippers. pg e gas transmission nw cp01 141 2001 expansion rejected newport northwest llc s assertion that requiring the expansion shipper to pay a fuel cost surcharge to recover any incremental fuel cost due to the additional compression approved for this project is contrary to ferc precedent and the policy statement on expansion facilities. these order should be issued within the next few day and we will circulate copies. let melinda know if you want to see the draft copy before then they are not available electronically .,Confirmation,Complaint
this is to confirm that your reservation for conference room eb4102 ha been scheduled for tomorrow's strategy meeting from 2:00pm to 4:00pm. audiovisual equipment ha been arranged a requested.,Confirmation,Others
"your order for business card ha been processed. the estimated delivery date is october 15th. the card will be delivered directly to your desk. if you have not received them by october 18th, please contact the print service department.",Confirmation,Others
dave a per previous discussion i am very concerned with canada not using ubs ag a the contracting party. additionally lou eber ha confirmed with me a number of time that ubs ag doe not guarantee subsiduaries but rather ubs is good for it . this will not work.,Confirmation,Complaint
debra and gerald attached is a worksheet with the credit term that i would require in a gtc confirmation: greg i will call you about this. thanks jay,Confirmation,Others
sara i called scott with no answer. my contact doe not know who he is but suggested you could send the eci and ena agreement to her and she would ensure both were put in place with her legal and compliance people. you can send the completed agreement,Confirmation,Others
a non corp password request ha been made for gerald.nemec enron.com your non corp password for erequest is 9829 . without quote to use this password go to the erequest website http: itcapps.corp.enron.com srrs entry and click on non corp logon. type in your email address and the password above and click the log in button to log on to erequest. to submit feedback on erequest go to the feedback page at http: itcapps.corp.enron.com srrs feedback .,Confirmation,Others
your password change ha been successfully processed. your new password will be active within the next 15 minutes. please remember to keep your password confidential and change it every 90 day a required by corporate security policy.,Confirmation,Others
we ve changed the weekly scheduled meeting to accommodate more people s calendars: when: every tuesday when: 3pm where: 15c1,Confirmation,Others
your application for the senior analyst position (job id: sr2001-42) ha been received. we will review your qualification and contact you within the next 7-10 business day if your background match our current needs.,Confirmation,Others
the preliminary violation memo for 11 20 01 have been published and are available for viewing on the erv: http: erv.corp.enron.com violation notification memo section.,Confirmation,Others
mryantaber nyiso.com writes to the nyiso tech exchange discussion list: dear mswg members. a meeting of the market structure working group ha been scheduled for monday august 27 2001 from 10:00 4:00 at the ny nurse association 11 cornell road latham ny. agenda and meeting material will be sent at a later date. teleconferencing information is a follows: dial in number: 601 354 1086 participant code: 115522 regard monica ryan taber 518 356 6222,Confirmation,Others
for tomorrow we need to sell the following: he 5 30mw s he 6 30mw s he 7 65 mw s the sale go into the teco service book. the length is currently scheduled to load in enpower and the qse mo system. thanks jmf,Confirmation,Others
dear market participant technical bulletin 77 generator start up cost guarantee ha been revised in response to market participant comment and will soon be posted to the nyiso web site. for your convenience clean and redlined version of the technical bulletin are attached. the purpose of our technical bulletin is to facilitate participation in the nyiso by communicating various nyiso concept technique and process to market participant before they can be formally documented in a nyiso manual. question should be directed to your customer account representative or the help desk at 518 356 6060. regard peter lemme nyiso customer technical service see attached file: tb 77 redline.pdf see attached file: tb 77.pdf tb 77 redline.pdf tb 77.pdf,Confirmation,Others
good morning just a reminder to get your aga estimate in by noon est 11:00 cst. last year 71 last week 63 thank you daryl dworkin bnp paribas commodity future inc. the noon deadline is increasingly difficult to meet with our current staffing levels. can we discus extending this by 30 minutes?,Complaint,Enquiry
linda i left a message for lisa to continue taking care of the cat because you wouldn t be able to get back for at least a day or more. her number is 212 721 4590. once you know your plan i will call her again to let her know.\n\n mark.taylor enron.com 09 11 01 12:31pm \nhope everyone we know is well. the picture we are seeing in london are\ndevastating. i am not able to get back tomorrow and will let you know when\ni have flight arrangements. i m sending this to the two of you in the hope\nthat one of you can pas along any information to randy.,Complaint,Others
lynn the training went well. we covered the following topics:\n\n\t 8 a.m. true up process and how to avoid mistake or invalid codes\n\t winter power pak agreement and true up process\n\t information about realigning their demarc and beatrice volumes\n\t difference between demarc and mid 17 pool\n\t addressed concern about the nng imc dth that keep showing up on their invoices\n\t reviewed some trading code and how we use them\n\t gave example of how we provide better information to them than other pipe by opening our scheduling system to them,Complaint,Enquiry
we are currently experiencing a problem with our ability to display pay checks. we are addressing the issue at this time and will provide you with update a we have additional information.\n\ncontact:\n\ncontact:\n\ncontact information:\n\nisc customer care \n\n713 345 4727,Complaint,Others
pursuant to our discussion yesterday regarding the above please find below for your consideration a suggested revision to mac credit rating trigger definition to used in all future master trading agreement or confirmation in which enron corp s credit rating is part of a mac credit rating trigger.\n\nany comment should be sent to scott ringdahl x 33690 and robert bruce x 39106.\n\nthanks.,Complaint,Confirmation
